event_id,idx,japones,es_final,estado
10040005,2,@…オレをサッカー%1F部にさそいたい？\nうーん　サッカーね…,"¿Me quieres en tu equipo?\nHmm, así que fútbol...",oficial
10040005,3,Tオレは　%2F柔道っぽい%2F体型だと%1F思うけど\nサッカーも　いけると%1F思うかい？,"Creo que mi cuerpo pega más\ncon el judo, pero si tú me\ndices que valdría para el fútbol...",oficial
10040005,4,Lそれだったら　%1F入ってやるよ。\nこれから　よろしくたのむよ　あんた！,"Pues entonces, jugaré contigo.\n¡Vamos a arrasar, chico!",oficial
10040005,5,<やっぱり　オレには%2F柔道が\n１%1F番あってるんだよな。,Está visto que lo mío es el judo.,oficial
10040006,0,%s\nが%2F仲間になった！,¡%s se te ha unido!,oficial
10040006,1,<ふっふっふ…\nキミが%1F来ることは　わかっていたよ。,"Ju, ju... Sabía que vendrías.",oficial
10040006,2,4オレを　サッカー%1F部に\nさそいたいのだろう？,"Quieres invitarme a jugar\nen tu equipo, ¿me equivoco?",oficial
10040006,3,Lふっふっふ…\nそうだと%1F思ったよ。\nだから　ここで%1F待っていたのさ。,"Ja, ja... Me lo veía venir.\nPor eso te estaba esperando aquí.",oficial
10040006,4,(えっ　ちがう？\nそんなはずは…。,"Ah, ¿no? No me digas...",oficial
10050001,0,%s\nが%2F仲間になった！,¡%s se te ha unido!,oficial
10050001,1,8お　%2F円堂！\nなんか　%1F久しぶりな%1F感じだな！,¡Mark! ¿Cuánto hacía que\nno nos veíamos?,oficial
10050001,2,D%1F何？\nサッカー%1F部に　もどらないかって？\nそれはつまり…,¿Eh? ¿Cómo que si vuelvo\nal equipo de fútbol?\nNo será que...,oficial
10050001,3,(オレの%1F力が　%2F必要ってことか？,¿Dices que me necesitas?,oficial
10050001,4,",よっしゃ！\nこれから　またよろしくな！",¡Muy bien!\n¡Tenemos que ser los mejores!,oficial
10050001,5,(そうか。\nそれは　%2F残念だな…。,Ya veo. Lástima...,oficial
10050004,0,%s\nが%2F仲間になった！,¡%s se te ha unido!,oficial
10050004,1,<キャ　キャプテン！\nオ　オレに%1F何か%1F用なんですか？,¡Ca... capitán!\n¿Pasa algo?,oficial
10050004,2,tえっ？　サッカー%1F部にもどれって？\n…でも　オレなんかが%1F入っても\nみんなの%2F足手まといになるだけですよ。,¿Qué? ¿Que vuelva al equipo?\nSolo me convertiré en\nun estorbo para vosotros...,oficial
10050004,3,",それでもいいって　%1F言うんですか？",¿Dices que no te importa?,oficial
10050004,4,Lそ　そうですか…！\nだったら　もう１%1F度\nサッカーをやってみますよ！,"¡Oh, qué bien! ¡Vamos\na jugar otra vez!",oficial
10050004,5,$また　よろしくおねがいします。,¡A ver si nos va bien!,oficial
10050004,6,<そうですよね…。\nどうせ　オレなんか　オレなんか…。,Ya... Si es que yo... Yo...,oficial
10050005,0,%s\nが%2F仲間になった！,¡%s se te ha unido!,oficial
10050005,1,0お　%2F円堂！\nなんか　%1F久しぶりだな！,"¡Hola, Mark! Cuánto tiempo, ¿no?",oficial
10050005,2,\サッカーあきちゃったから　やめたけど\n%2F最近　またサッカーが\nしたくなったんだよね。,"Me cansé del fútbol y dejé de\njugar, pero últimamente me\napetece volver a tocar balón...",oficial
10050005,3,0だから…\nまたサッカーをやらせてくれない？,Entonces... ¿me dejas jugar\nen tu equipo?,oficial
10050005,4,Hあきたら　またやめるかもしれないけど\nこれから　またよろしくね！,"Si me aburro quizás salga del\nequipo, pero de momento jugaré\ncon vosotros.",oficial
10050005,5,Pそうか。\nそれは　ざんねんだな…。\n%1F気が%1F向いたら　またさそってよね。,"Anda, pues qué pena...\nBueno, si cambias de opinión,\navísame.",oficial
10050006,0,%s\nが%2F仲間になった！,¡%s se te ha unido!,oficial
10050006,1,dおう　%2F円堂！\nなんか　ずいぶん%1F会っていなかった\n%1F気がするぜ。\nオレに%1F何か%1F用か？,"¡Buenas, Mark! Vaya, me da la\nimpresión de que llevaba mucho\ntiempo sin verte. ¿Querías algo?",oficial
10050006,2,L…%1F何？　オレにまたサッカーしろと？\nつまり　%3F豪炎寺なんかより…,¿Qué? ¿Que juegue otra vez\ncon vosotros? Entonces no\ntenéis suficiente con Axel...,oficial
10050006,3,0このオレの%1F力が\n%2F必要ってことだな？,"O sea, que soy imprescindible\npara tu equipo, ¿no?",oficial
10050006,4,pふんっ！　しょうがないな。\nオレがいないと　ダメみたいだしな。\nそこまで%1F言うのなら　もどってやるよ。,"Hmm, qué se le va a hacer...\nParece que sin mí no sois nada.\nVenga, vale, volveré al equipo.",oficial
10050006,5,また　よろしくたのむぜ！,¡A ver si nos va bien!,oficial
10050006,6,4ふんっ！\nそれなら　オレは%2F必要ないだろ！,"¡Puf! ¿Para qué te hago falta,\nsi puede saberse?",oficial
10050007,0,%s\nが%2F仲間になった！,¡%s se te ha unido!,oficial
10050007,1,Dなんだい？　またキミか…\nいったい　ボクに%1F何の%1F用だい？,¿Qué? ¿Otra vez tú?\n¿Qué diablos quieres de mí?,oficial
10050007,2,\…えっ？　またサッカー%1F部に%1F入れって？\nボクもそんなに\nヒマじゃないんだけどね…,"¿Eh? ¿Otra vez me vienes con\nlas mismas? Que no me aburro\ntanto, oye...",oficial
10050007,3,dまあ　どうしてもって%1F言うのなら\n%2F天才と%1F言われるこのボクが\n%1F入ってあげてもいいよ。,"Si estás desesperado, no tendré\nmás remedio que ayudarte con\nmi fútbol magistral.",oficial
10050007,4,Pふふん！\nそこまで%1F言うのなら　この%2F天才のボクが\n%1F入ってあげるよ。,"¡Ju, ju, ju! ¡Si tantas ganas\ntienes de que juegue contigo,\nte dejaré disfrutar de mi magia!",oficial
10050007,5,(ボクのやさしさに　%2F感謝しなよ。,"Has tenido suerte de que\nsea tan amable, cualquier otro\nhabría pasado de ti.",oficial
10050007,6,<ふんっ！\nあとでコウカイしても\n%1F知らないからな。,Nada de arrepentirse luego.,oficial
61010001,0,Lここは%2F受付です。　\n%2F名前をお%1F書きになって\nお%1F待ちください。,Hola. Esta es la recepción.\n¿En qué puedo ayudarte?,oficial
62000080,0,(%1F他に　%1F何か%1F用はあるかい？,¿Algo más?,oficial
62000080,1,4いらっしゃい。\n%2F今日は　どうするんだい？,"Hola, ¿en qué puedo servirte?",oficial
62000080,2,まいど　どうもねー。,Muchas gracias.,oficial
62000080,3,そうかい　またおいでねー。,De acuerdo. ¡Hasta pronto!,oficial
62000080,4,まいど　どうもねー。,Muchas gracias.,oficial
62000080,5,そうかい　またおいでねー。,De acuerdo. ¡Hasta pronto!,oficial
62000250,0,%1F他　%1F用はあるかい？,¿Algo más?,oficial
62000250,1,$ほっほっほ。\nいらっしゃい。,"Jo, jo, jo.\nBienvenido.",oficial
62000250,2,また　おいでね。,Hasta otra.,oficial
62000480,0,Hいらっしゃいま〜しぇ〜。\n%2F看板ムスメのトメで〜しゅ\nうふっ。,"¡Hola! ¡Me llamo Tome! Ji, ji.",oficial
62000490,0,4いらっしゃい！\n%2F雷神%2F模型へ　ようこそ！,¡Hola! ¡Bienvenido a la tienda\nde maquetas Raijin!,oficial
62000500,0,4らっしゃい！\nめんのかたさは　どうしやすかい？,¡Buenas! ¿Cómo de duros quieres\nlos fideos?,oficial
62000510,0,�いらっしゃいまーせー。\fゲームは　クリアしてから\n%1F新しいものを　%1F買う！\nこれが　%1F正しいゲームの%1F遊び%1F方だよ。,"Buenos días.\fHasta que no se termina un juego,\nno se compra otro nuevo.\nEsa es la mejor manera de jugar.",oficial
62000530,0,dおかえりなさいませ　ご%3F主人様♪\nメイド%2F喫茶は　\nただ%1F今　%2F営業%2F停止%1F中で〜す♪,¡Bienvenido a la cafetería!\nAhora mismo el bar temático\nestá cerrado.,oficial
62000530,1,рｻして　%3F真二屋%2F店長も\n%1F今は　お%2F部屋で\nお%3F昼寝中で〜っす♪\fまたのお%1F帰りを\nお%1F待ちしてま〜っす　うふっ♪,"El jefe está durmiendo en\nla habitación.\fEspero que vuelva a visitarnos\npronto. Ji, ji.",oficial
62000530,2,L…%1F今は%1F誰もおりません。\nお%1F帰り%1F下さいませ　ご%2F主人%1F様。,"Ahora no podemos atenderle.\nVuelva otro día, por favor.",oficial
62000530,3,",おかえりなさいませ。　ご%2F主人%1F様♪","Me alegro de volver a verle, señor.",oficial
62000563,0,Dウチの%1F薬は%2F効果バツグン！\nさあ　%1F見てってくれよな！,"¡Nuestros medicamentos son\nmuy efectivos! ¡Adelante,\neche un vistazo!",oficial
81000060,0,Pこの%1F先は　オレたちの\nアジトだ！\nケガしたくなきゃ　あっちへ%1F行きな！,"¡A partir de aquí es nuestra\nguarida! Si no quieres que te\nhagamos daño, date media vuelta.",oficial
81000060,1,Tなんだ　%3F警察官が%1F入って%1F行ったぞ！？\nオレたち　%1F何もしてないよー！,¡¿Ha venido la policía?!\n¡Nosotros no hemos hecho nada!,oficial
81000060,2,0あ　ど　どうもっ\nこんにちはっ　へへへ…。,"Ah, hola... Buenos días, je, je.",oficial
81000060,3,4アーん？\nなんか　モンクあんのか？\nアーん？,¿Mm? ¿Tienes algún problema?,oficial
81000060,4,4あ　%2F円堂さん！\nおっ　おつかれさまです！,"Hola, Mark.\n¡Buen trabajo!",oficial
81000060,5,きゃっ　つめたーい。,"Uah, qué fría...",oficial
81000060,6,あーん　おなかいたーいっ！,Ay... Me duele la barriga.,oficial
81000060,7,きゃっ　つめたーい。,"Uah, qué fría...",oficial
81000060,8,4あははっ　まったく\nオッチョコチョイさんめー。,"Ja, ja, ja.\nQué patosa.",oficial
81000060,9,$あははっ\nぼくも　いたーいっ！,"Ay, ay, ay.\nA mí también me duele.",oficial
81000060,10,4あははっ　まったく\nオッチョコチョイさんめー。,"Ja, ja, ja.\nQué patosa.",oficial
81000060,11,垂ｿょっと！\nぼーっと　%1F見てないで\nてつだってよ。\fそこに%1F見える　%1F青い%2F屋根の\n%4F体育倉庫に　%2F荷物を\n%1F運んでいるんだっ。,¡Oye! ¡No te quedes ahí en medio!\fTengo que llevar trastos al almacén\ndel gimnasio que tiene el techo de\ncolor azul.,oficial
81000060,12,|%3F体育館の%1F裏は　%2F不良たちの\nたまり%1F場になっているのだ…。\fああっ　わたしに\n%2F注意をする%2F勇気があれば…！,Los gamberros del insti se reúnen\ndetrás del gimnasio.\fOjalá tuviera valor para llamarles\nla atención...,oficial
81000060,13,�%2F不良たちを　%2F注意しに\n%2F先生が%2F１人で「%1F負け%1F犬のたまり%1F場」へ\n%1F行ってしまった…！\fああっ　わたしに\nもっと%2F勇気があったら…！,Una profesora ha ido sola a echar\nla bronca a los gamberros de\nhla cueva de los fracasadosh.\fOjalá fuese valiente como ella...,oficial
81000060,14,рｦ　%3F理科室はどこかって？\nおいおい　しっかりしてくれよ。\f%2F正門から　%1F左に%1F見える\n%2F校舎の１%1F階に　あるだろうが。,"¿Cómo? ¿Que dónde está el aula de\nciencias? Qué memoria más mala\ntienes...\fDesde la puerta principal, verás\nun edificio a la izquierda. El aula\nde ciencias está en la planta baja.",oficial
81000060,15,",%2F銅像の%1F中って　どうなってたんだ？",¿Qué está ocurriendo bajo\nla estatua?,oficial
81000060,16,�%3F体育館の%1F裏にいる%2F不良たち\nだいぶん%1F少なくなったなぁ。\fきっと　わたしの%2F熱意が\n%1F伝わったんだな。\nはははっ。,"Cada vez hay menos gamberros\ndetrás del gimnasio.\fSeguro que mi discurso lleno\nde entusiasmo los ha convencido.\nJa, ja, ja.",oficial
81000060,17,|%3F体育館の%1F裏は　%2F不良たちの\nたまり%1F場になっているのだ…。\fああっ　わたしに\n%2F注意をする%2F勇気があれば…！,La parte trasera del gimnasio es\nel escondrijo de los gamberros.\fOjalá tuviese valor para llamarles\nla atención...,oficial
81000060,18,Tここは　%3F体育館よ。\nバスケ%1F部が　%2F試合をしてるから\n%1F入っちゃだめよ！,"Esto es el gimnasio. El club\nde baloncesto está jugando\nun partido, así que no entres.",oficial
81000060,19,Hこの%1F先は　%3F体育館よ。\nバスケ%1F部たちが　%2F練習してるのよ。,Por aquí se va al gimnasio.\nEl club de baloncesto se está\nentrenando.,oficial
81000060,20,",この%1F先は\n%1F行かせないんだなっ。",No te dejaré seguir adelante.,oficial
81000060,21,Pこの%1F先は　\nオレたちの　アジトなんだな。\n%1F気をつけていくんだなっ。,Aquí empieza nuestro territorio.\nVe con cuidado.,oficial
81000060,22,8%3F体育館%1F裏のみんな　\nちょっとヘンなんだなっ。,Los que acuden a la parte trasera\ndel gimnasio son un poco raros.,oficial
81000060,23,8ずっと%2F見張りしてるのも\nたいくつなんだなっ。,Estar vigilando constantemente\nes agotador.,oficial
81000070,0,0まったく　いったい\nなんのさわぎなの！？,¡¿Qué es todo este alboroto?!,oficial
81000070,1,`みんな　いっせいに\n%1F体の%2F調子がおかしくなるなんて…\nいったい　どうしたのかしら…。,Es muy extraño que todos se hayan\nempezado a sentir mal a la vez.\n¿Qué habrá pasado?...,oficial
81000070,2,@ここは%2F病院よ。　\nだれかの　お%1F見まいにきたのかしら？,Este es el hospital.\n¿Has venido a visitar a alguien?,oficial
81000070,3,ﾘあら　あなた%3F雷門中の%2F生徒さん？\nいえね　ウチによくお%1F見まいにくる\n%1F男の%1F子も　%3F雷門中の%1F子だったから。\f%1F妹さんが%2F入院しているらしいけど\n%2F毎日　お%1F見まいにくるなんて\nかんしんよね。,"Anda, ¿estudias en el Raimon? Hay\nun chico del mismo instituto que\nviene por aquí a menudo.\fSe ve que su hermana pequeña está\ningresada aquí y la visita todos\nlos días.",oficial
81000070,4,0ならんでくださーいっ！\n%1F押さないでー！,"¡Poneos en fila, por favor!\n¡No empujéis!",oficial
81000070,5,ﾘあら　あなた%3F雷門中の%2F生徒さん？\nいえね　ウチによくお%1F見まいにくる\n%1F男の%1F子も　%3F雷門中の%1F子だったから。\f%1F妹さんが%2F入院しているらしいけど\n%2F毎日　お%1F見まいに%1F来るなんて\nかんしんよね。,"Anda, ¿estudias en el Raimon? Hay\nun chico del mismo instituto que\nviene por aquí a menudo.\fSe ve que su hermana pequeña está\ningresada aquí y la visita todos\nlos días.",oficial
81000070,6,",ああ…　\nアタマが　われそうじゃ…。",Aah... La cabeza me va a estallar.,oficial
81000070,7,0きゃんきゃんっ！\n（たすけてくれーっ！）,"¡Chi, chi!\ni¡Que alguien me ayude!j",oficial
81000070,8,Dマゴのためにも　%2F病気なんぞに\n%1F負けていられませんわい！,¡Lucharé contra esta enfermedad!\n¡Lo haré por mi nieta!,oficial
81000070,9,カミノ…　テンバツヲ…！,¡Castigo... divino...!,oficial
81000070,10,Dマゴのためにも　%2F病気なんぞに\n%1F負けていられませんわい！,¡Lucharé contra esta enfermedad!\n¡Lo haré por mi nieta!,oficial
81000070,11,0おじーちゃん　はやく\nげんきになってねっ。,"Ponte bueno pronto, abuelo.",oficial
81000070,12,0あーん　おにーちゃん\nあたまいたーいっ。,Ayyy... Me duele la cabeza.,oficial
81000070,13,0おじーちゃん　はやく\nげんきになってねっ。,"Ponte bueno pronto, abuelo.",oficial
81000070,14,H%2F入院してみて\nはじめて%2F健康の \nありがたみが　わかるよね。,"Cuando me ingresaron, me di\ncuenta de lo importante que\nes la salud.",oficial
81000070,15,ジャマモノ…　ハイジョ！,¡No molestes! ¡Fuera!,oficial
81000070,16,H%2F入院してみて\nはじめて%2F健康の \nありがたみが　わかるよね。,"Cuando me ingresaron, me di\ncuenta de lo importante que\nes la salud.",oficial
81000070,17,$なんだ　なんだ！\nケンカか！？,¡¿Qué pasa?! ¿Una pelea?,oficial
81000070,18,アタマ…　イ…タイ…。,Me duele la cabeza...,oficial
81000070,19,Tああ　カツ%1F丼たべたいなぁ…。\n%2F病院のゴハンって\nうす%1F味なんだよね。,Aah... Quiero comer filete\nempanado... La comida del\nhospital no sabe a nada.,oficial
81000070,20,lわたしは%2F医者であ〜る。\n%2F元気になった%2F患者の%2F笑顔をみるのが\nわたしの%1F生きがいであ〜る！,Soy doctor. Ver la sonrisa de\nlos pacientes recuperados es lo\nque me da fuerzas para vivir.,oficial
81000070,21,Dわたしは…%2F医者であ〜る…。\nこれしきのことっ…　ウウ…。,Soy médico. Esto no es nada...\nUgh...,oficial
81000070,22,lわたしは%2F医者であ〜る。\n%2F元気になった%2F患者の%2F笑顔をみるのが\nわたしの%1F生きがいであ〜る！,Soy doctor. Ver la sonrisa de\nlos pacientes recuperados es lo\nque me da fuerzas para vivir.,oficial
81000070,23,@ぴーぽー　ぴーぽー\nきゅうきゅうしゃって\nかっこいいよね！,"Niinoo, niinoo.\n¡Las ambulancias son muy chulas!",oficial
81000070,24,うわーん　ママー！,¡Uah! ¡Mamá!,oficial
81000070,25,@ぴーぽー　ぴーぽー\nきゅうきゅうしゃって\nかっこいいよね！,"Niinoo, niinoo.\n¡Las ambulancias son muy chulas!",oficial
81000120,0,4ねえキミ　%1F絵のモデルに\nなってくれない？,"Oye, ¿te gustaría posar\npara un cuadro?",oficial
81000120,1,0あら　おねーさんに\nなにか　%1F用かしら？,"Hola, ¿quieres algo?",oficial
81000120,2,Dあーん？　\nここは【３%2F年生の%2F教室】が\nある%2F校舎だぜ。,¿Mm? Las clases de los alumnos\nde tercer curso están en este\nedificio.,oficial
81000120,3,l１%1F階には【%3F美術室】と【%3F音楽室】も\nあるんだが　%1F用がないなら\n%3F下級生は%1F出ていきなっ。,En la planta baja están el aula de\narte y el aula de música. No tenéis\nnada que hacer aquí. Marchaos.,oficial
81000120,4,Dあーん？　\nここは【３%2F年生の%2F教室】が\nある%2F校舎だぜ。,¿Mm? Las clases de los alumnos\nde tercero están en este edificio.,oficial
81000120,5,l１%1F階には【%3F美術室】と【%3F音楽室】も\nあるんだが　%1F用がないなら\n%3F下級生は%1F出ていきなっ。,En la planta baja están el aula de\narte y el aula de música. No tenéis\nnada que hacer aquí. Marchaos.,oficial
81000120,6,0%2F自信をもって！\nあなたなら　できるわ！,¡Confía en ti!\n¡Seguro que lo logras!,oficial
81000120,7,Dもうすぐ　ピアノのコンクールなの。\nはあ　ドキドキするわっ。,"Queda poco para el concurso de\npiano. Ah, qué nervios...",oficial
81000120,8,Lぶるぶるっ！\nこの　%3F音楽室の%3F肖像画\n%1F化けてでそうだよねぇ…。,¡Grr! Parece que vaya a salir\nun fantasma del retrato\ndel aula de música.,oficial
81000120,9,8うーん　イマイチッ！\nうまく%1F描けないなぁ…。,Uhm... No me convence.\nNo sé por qué no me sale bien...,oficial
81000120,10,<よしっ　イイかんじ！\n%1F次の%3F展覧会は　いただきね！,¡Bien! ¡Me gusta!\n¡Seguro que gano el premio\nde la próxima exposición!,oficial
81000130,0,8はあ　%2F毎日テストばっかりで\nうんざりだよ…。,Estoy harto de hacer exámenes\ntodos los días. Aaaah...,oficial
81000130,1,D３%2F年生は　%2F勉強でいそがしいんだから\nジャマしないように！,Los estudiantes de tercero\nestán ocupados estudiando.\nNo los molestéis.,oficial
81000130,2,0いいなぁ　オレも\nサッカーやりたいよ…。,"Qué envidia, yo también\nquiero jugar al fútbol.",oficial
81000130,3,@ゼッタイ　あこがれの%2F高校に　\n%2F合格してみせるわっ！,¡Tengo que aprobar los exámenes\npara el instituto de bachillerato\nque tanto me gusta!,oficial
81000130,4,怩ｱの%1F間　じゅくのテストで\n『せみまる』くんに%1F負けちゃった！\fかれって　まだ１%2F年生なのに\nすっごく%1F頭がいいのよね…。\nうー　くやしいっ！！,"¡En los últimos exámenes de la\nacademia, Sol Stiss sacó mejores\nnotas que yo!\fAún va a primero, pero es muy\ninteligente. Arg, ¡qué rabia!",oficial
81000130,5,@ゼッタイ　あこがれの%2F高校に　\n%2F合格してみせるわっ！,¡Tengo que aprobar los exámenes\ndel instituto de bachillerato\nque tanto me gusta!,oficial
81000130,6,0お%1F花があると　\nココロがなごむでしょ？,Las flores sosiegan el corazón\nde las personas.,oficial
81000130,7,Pかのじょ　イイ%1F子だよなぁ…。\n%2F卒業までに　ゼッタイ%2F告白するんだ！,"Es una chica excepcional. Antes\nde graduarme, me declararé.",oficial
81000140,0,0うおおーっ！\n%1F答えが　わからんっ！！,¡Arg! ¡No sé la respuesta!,oficial
81000140,1,@%2F高校にはいったら　ゼッタイ\n%1F遊びまくってやるぞっ！,"Cuando empiece el bachillerato,\nme pasaré el día de juerga.",oficial
81000140,2,4%2F来年は　オマエらの%1F番だぜ…。\nへへっ…。,"El año que viene os tocará\na vosotros estudiar a saco.\nJe, je.",oficial
81000140,3,pとなりのクラス　いのこり%1F中なの。\nキミも%1F今のうちから　ちゃんと　\n%2F勉強しておいた%1F方がいいわよ。,En la clase de al lado están\nlos repetidores. Estudia si no\nquieres acabar como ellos.,oficial
81000140,4,8えーっと　これをたして\nこれをひいて……　あれ？,A ver... Si sumo esto y le\nresto lo otro... ¿Eh?...,oficial
81000140,5,0こらー　もっとマジメに\n%2F勉強せんかっ！,¡Tú! ¿Por qué no te tomas más en\nserio los estudios?,oficial
81000140,6,hはぁ　%2F毎日　%2F勉強ばっかり…。\n３%2F年生になるまえに　もっと\n%1F遊んでおけばよかったなぁ。,No hago más que estudiar...\nTendría que haber disfrutado más\nde mi tiempo libre el año pasado.,oficial
81000150,0,@おクスリは　%1F出しといたけど\nあんまりムリしちゃダメよ。,"Aunque te he dado medicamentos\npara todos, intenta que no hagan\nningún esfuerzo.",oficial
81000150,1,",もう！\n%1F寝てなくちゃダメでしょっ。","Venga, ¡a dormir!",oficial
81000150,2,Hさいきん　%2F具合がわるい%1F人が%1F多いの。\nどうしたのかしら…。,"ltimamente, vienen muchas\npersonas que se encuentran mal.\nEstá pasando algo raro...",oficial
81000150,3,0あら　\nどこか　%2F具合がわるいのかしら？,"Hola, ¿te duele algo?",oficial
81000150,4,`あいたたたたっ　\nおなか　いたーいっ。\f…なんだ　%2F円堂か。\nお%2F芝居して　ソンしたよ。,"Ay, ay, ay. ¡Me duele la barriga!\fAh, eres tú, Mark. Tanto teatro\npara nada.",oficial
81000150,5,",こんにちは。\nここは　%3F保健室よ。",Buenos días.\nEsta es la enfermería.,oficial
81000150,6,Dうげーっ　\nお%2F弁当のタマゴ%1F焼きに　\nあたったかなぁ…。,"Ugh, creo que los huevos de\nla comida me han sentado mal...",oficial
81000150,7,$あれ　%1F寝てなくていいの？,¿No vas a descansar?,oficial
81000150,8,�%2F保健の%2F先生に　\nなやみを　%1F聞いてもらいにきたんだ。\nどんな　なやみかって？\fなやみがないのが　\nなやみなのさ…。,He venido a contarle mis\npreocupaciones a la enfermera.\n¿Que qué me preocupa?\fPues estoy preocupado porque no\ntengo ninguna preocupación.,oficial
81000150,9,tこんにちは！\nここは%3F西校舎です。\f%1F今　ボクたちがいる１%1F階には\n【%3F保健室】と\n【%3F理科室】があって,¡Hola!\nEste es el edificio oeste.\fEn esta planta encontrarás la enfermería\ny el aula de ciencias.,oficial
81000150,10,H２%1F階と３%1F階は【１%2F年生の%2F教室】に\nなっているんですよ。,En el primer y segundo piso\nestán las aulas para los de\nprimer curso.,oficial
81000150,11,tこんにちは！\nここは%3F西校舎です。\f%1F今　ボクたちがいる１%1F階には\n【%3F保健室】と\n【%3F理科室】があって,¡Hola!\nEste es el edificio oeste.\fEn esta planta encontrarás la enfermería\ny el aula de ciencias.,oficial
81000150,12,H２%1F階と３%1F階は【１%2F年生の%2F教室】に\nなっているんですよ。,En el primer y segundo piso\nestán las aulas para los de\nprimer curso.,oficial
81000150,13,h%3F理科室で　%3F科学部が\nあやしい%2F実験を　してるんです。\nこわくて　%1F逃げてきちゃいました。,El club de ciencias está llevando\na cabo un extraño experimento en\nsu aula. Qué miedo.,oficial
81000150,14,T%3F理科室で　%3F科学部が\n%2F今日も　あやしい%2F実験\nしてるみたいですね…。,Hoy el club de ciencias también\nestá realizando un extraño\nexperimento en su aula.,oficial
81000150,15,lいま　%2F世界をゆるがす%3F大発明の\n%1F第１%1F歩を　ふみだすところであーる。\n%1F話しかけるでないっ。,Estamos a punto de dar con un gran\ndescubrimiento que revolucionará\nel mundo. No nos hables.,oficial
