idx,japones,espanol_oficial
96,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
97,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
98,相手チームからボールをうばえ！,¡Róbale el balón al equipo rival!
99,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
100,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
101,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
102,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
103,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
104,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
105,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
106,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
107,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
108,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
109,制限時間内に点をとられるな！,¡Que no te metan gol!
110,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
111,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
112,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
113,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
114,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
115,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
116,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
117,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
118,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
119,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
120,相手チームと２点差をつけろ！,¡Gana por 2 goles de diferencia!
121,相手チームと２点差をつけろ！,¡Gana por 2 goles de diferencia!
122,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
123,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
124,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
125,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
126,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
127,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
128,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
129,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
130,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
131,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
132,相手チームから１点うばえ！,¡Métele un gol al equipo rival!
