idx,japones,espanol_oficial
59,テニス部チーム０６,Tenistas 06
60,テニス部チーム０７,Tenistas 07
61,テニス部チーム０８,Tenistas 08
62,ふらふらサイクル部,Amigos del paseo
63,のりたてサイクル部,Ciclistas novatos
64,ルンルンサイクル部,Ciclistas eufóricos
65,かるわざサイクル部,Ciclistas acróbatas
66,ウイリーサイクル部,Ciclistas extremos
67,サイクルチーム０６,Ciclistas 06
68,なきむし柔道部,Judokas llorones
69,なんちゃって柔道部,Judokas guasones
70,がむしゃら柔道部,Judokas lanzados
71,バツグン柔道部,Judokas magníficos
72,黒おび柔道部,Cinturones negros
73,柔道部チーム０６,Judokas 06
74,柔道部チーム０７,Judokas 07
75,柔道部チーム０８,Judokas 08
76,おこちゃま剣道部,Niñatos con espada
77,ヘタレ剣道部,Sables de goma
78,ちゃんばら剣道部,Fans de los duelos
79,たつじん剣道部,Virtuosos del sable
80,サムライ剣道部,Samuráis
81,剣道部チーム０６,Espadachines
82,ちびっこバスケ部,Saltamontes
83,じしょうバスケ部,Locos del básquet
84,フンフンバスケ部,Básquet defensivo
85,ダンクバスケ部,Básquet ofensivo
86,スターバスケ部,Cracks del básquet
87,バスケ部チーム０６,Baloncestistas 06
88,バスケ部チーム０７,Baloncestistas 07
89,バスケ部チーム０８,Baloncestistas 08
90,カナヅチ水泳部,Piscineros
91,いぬかき水泳部,Nadadores perrito
92,バタあし水泳部,Nadadores mariposa
93,スイマー水泳部,Nadadores expertos
94,トビウオ水泳部,Nadadores delfín
95,水泳部チーム０６,Nadadores 06
96,らくがき漫研部,Grafiteros
97,おえかき漫研部,Dibujantes
98,にがおえ漫研部,Retratistas
99,どうじん漫研部,Fanzineros
100,うれっこ漫研部,Estrellas del cómic
101,漫研チーム０６,Dibujantes 06
102,さぼり囲碁部,Ajedrecistas vagos
103,おぼえたて囲碁部,Pipiolos del ajedrez
104,ホビー囲碁部,Club de pasatiempos
105,きらめき囲碁部,Ases del ajedrez
106,めいじん囲碁部,Reyes del ajedrez
107,囲碁将棋チーム０６,Ajedrecistas 06
108,いねむり新聞部,Prensa dormilona
109,かけだし新聞部,Prensa en prácticas
110,はりきり新聞部,Prensa motivada
111,たっぴつ新聞部,Prensa de nivel
112,ベテラン新聞部,Prensa con solera
113,新聞部チーム０６,Club de prensa 06
114,ダメダメラグビー部,Miserias del rugby
115,はんぱラグビー部,Patanes del rugby
116,かいりきラグビー部,Titanes del rugby
117,トライラグビー部,Tridente del rugby
118,パワフルラグビー部,Glorias del rugby
119,ラグビーチーム０６,Club de rugby 06
120,ラグビーチーム０７,Club de rugby 07
121,ラグビーチーム０８,Club de rugby 08
122,よわむし応援団,Animadores afónicos
123,よせあつめ応援団,Panda de amiguetes
124,イケイケ応援団,Animadores clásicos
125,はりきり応援団,Animadores flipados
126,オッス！応援団！,"Animadores ""Oé, oé"""
127,応援団チーム０６,Animadores 06
128,応援団チーム０７,Animadores 07
129,応援団チーム０８,Animadores 08
130,ぼんやり帰宅部,Club de abobados
131,きまぐれ帰宅部,Club de caprichosos
132,さわやか帰宅部,Club de frescos
133,おしゃれ帰宅部,Club de elegantes
134,モテモテ帰宅部,Club de ligones
135,帰宅部チーム０６,Club de irse a casa
136,イナビカリアローズ,Flechas Centella
137,イナビカリシールズ,Escudos Centella
138,イナビカリスピアズ,Lanzas Centella
139,イナビカリガンズ,Pistolas Centella
140,イナビカリボムズ,Bombas Centella
141,イナビカリロケッツ,Cohetes Centella
142,イナビカリジェッツ,Jets Centella
143,イナビカリタンクス,Tanques Centella
144,レイトンチーム,Equipo Layton
145,レイトンチーム,Equipo Layton
146,イナビカリベイブス,Infantes Centella
147,イナビカリキッズ,Chavales Centella
148,イナビカリボーイズ,Chicos Centella
149,イナビカリヤングス,Jóvenes Centella
150,イナビカリブラッズ,Bravos Centella
151,イナビカリワイルズ,Salvajes Centella
152,イナビカリダークス,Oscuros Centella
153,イナビカリナイツ,Caballeros Centella
154,イナビカリキングス,Monarcas Centella
155,イナビカリデビルス,Diablos Centella
156,イナビカリダミーチーム,Ases de Inazuma
157,雷門,Raimon
