event_id,japones,es_oficial
22011390,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22011390,■初回BGM読み込みなし,"Mark, ya tenemos once jugadores. ¿Volvemos\nprimero al Instituto Raimon?"
22011400,$■初回ミニマップ読み込みなし,¡M-Mark! ¿Estás bien?
22011400,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22011400,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22011400,■初回BGM読み込みなし,"Sí, lo peor ya ha pasado. Pero los moratones\nno son nada... ¡La derrota a manos de\nla Academia Alius me dolió mucho más!"
22011450,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22011450,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22011450,■初回BGM読み込みなし,"Mark, ya tenemos once jugadores. ¿Volvemos\nprimero al Instituto Raimon?"
22011500,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22011500,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22011500,■初回BGM読み込みなし,"Mark, ya tenemos once jugadores. ¿Volvemos\nprimero al Instituto Raimon?"
22011600,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22011600,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22011600,■初回BGM読み込みなし,"Mark, ya tenemos once jugadores. ¿Volvemos\nprimero al Instituto Raimon?"
22011700,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22011700,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22011700,■初回BGM読み込みなし,"Mark, ya tenemos once jugadores. ¿Volvemos\nprimero al Instituto Raimon?"
22011800,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22011800,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22011800,■初回BGM読み込みなし,"Mark, ya tenemos once jugadores. ¿Volvemos\nprimero al Instituto Raimon?"
22011900,$■初回ミニマップ読み込みなし,"Tengo que irme por un tiempo, Julia."
22011900,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22011900,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22011900,■初回BGM読み込みなし,Lo siento. Justo ahora que empezabas a\nmejorar...
22012100,$■初回ミニマップ読み込みなし,¿Quién era ese? ¿Un amigo suyo?
22012100,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22012100,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22012100,■初回BGM読み込みなし,Algo así.
22012100,よし　やろうぜ！！,"Sí, solo estamos esperando a Axel."
22018100,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22018100,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22018200,$■初回ミニマップ読み込みなし,¿Qué os parece? Os presento al nuevo\nfichaje del equipo: ¡la Caravana Inazuma!
22018200,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22018200,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22018200,■初回BGM読み込みなし,¡Este autobús os llevará por todo el país\npara buscar a los mejores jugadores!
22018300,$■初回ミニマップ読み込みなし,"Mark, recuerda que esta vez no voy\na poder acompañaros."
22018300,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22018300,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22018300,■初回BGM読み込みなし,Debéis emprender este viaje vosotros solos.
22018400,$■初回ミニマップ読み込みなし,Tenéis que volver al Instituto Umbrella.
22018400,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22018400,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22018400,■初回BGM読み込みなし,"Las instalaciones del instituto están\ndestrozadas, pero no hubo heridos\nen el ataque."
22018500,$■初回ミニマップ読み込みなし,Me parece que no va a haber manera de\nreteneros. Tenéis mi permiso.
22018500,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22018500,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22018600,$■初回ミニマップ読み込みなし,¡Qué horror de imágenes! Espero que\nen el Kirkwood estén todos bien.
22018600,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22018600,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22018700,$■初回ミニマップ読み込みなし,¡Un centro de mando en un sitio como este!
22018700,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22018700,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22020100,$■初回ミニマップ読み込みなし,Unas horas antes de que Mark y el equipo\npartieran hacia Nara...
22020100,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22020100,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22020100,■初回BGM読み込みなし,"Nos encontramos en el parque\nDeerfield, a los pies de esta\ngigantesca estatua."
22020130,$■初回ミニマップ読み込みなし,"Bueno, Mark... ¿Todo listo?"
22020130,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22020130,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22020130,■初回BGM読み込みなし,"¡Estupendo! ¡Allá vamos!\n¡Próxima parada, Nara!"
22020150,$■初回ミニマップ読み込みなし,¡Mira! ¡Ya estoy viendo Nara!
22020150,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22020150,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22020150,■初回BGM読み込みなし,"¡Ahí está ese templo tan famoso!\n¡Sí, hombre! ¡El que sale en nuestro\nlibro de Historia!"
22020200,$■初回ミニマップ読み込みなし,Está prohibida la entrada al personal\nno autorizado. Largaos de aquí.
22020200,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22020200,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22020200,■初回BGM読み込みなし,Bueno... Es que... hemos oído que\nhan secuestrado al primer ministro\ny...
22020300,$■初回ミニマップ読み込みなし,"Je, je...\n¡No puede ser! ¡No me lo puedo creer!"
22020300,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22020300,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22020300,■初回BGM読み込みなし,¡En serio!\n¿No habéis visto aquel ciervo\nsaliendo del parque Deerfield?
22020400,$■初回ミニマップ読み込みなし,¿Otra vez vosotros?\nCreía que ya os lo había dejado\nclaro...
22020400,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22020400,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22020400,■初回BGM読み込みなし,¡Debes de estar agotado de tanto trabajar!\n¡Te hemos traído unas galletillas\npara que piques algo!
22020500,$■初回ミニマップ読み込みなし,¡Mirad! ¡Ahí está la estatua gigante\ndel ciervo! Aquí fue donde raptaron\nal primer ministro.
22020500,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22020500,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22020500,■初回BGM読み込みなし,¡Uf! ¡Al ciervo le han arrancado\nla cabeza de cuajo!
22020550,$■初回ミニマップ読み込みなし,¿Qué? ¿Pistas sobre los alienígenas? Esto\nno es asunto vuestro. Estaos quietos\ny dejadnos hacer nuestro trabajo.
22020550,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22020550,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22020550,■初回BGM読み込みなし,En fin... Parece que ese balón negro es la\núnica pista que dejaron.
22020600,$■初回ミニマップ読み込みなし,"Aquí está el estudio...\nOye... ¡A lo mejor, hasta\nsalgo en la tele y todo!"
22020600,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22020600,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22020600,■初回BGM読み込みなし,¡Cómo molaría conseguir algún autógrafo\nahí dentro!
22020700,$■初回ミニマップ読み込みなし,¿Ya estáis de vuelta?\n¿No teníais que estar enfrentándoos\na la Academia Alius?
22020700,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22020700,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22020700,<それは　%4F地上最強のメンバーを\n%1F集めることで…。,P-pero ¡¿qué dice?!
22020700,■初回BGM読み込みなし,Es que...
22020700,あつ,"De hecho, acabarán pensando que dependéis\nde los mayores para todo."
22020700,ちじょうさいきょう,"Para ellos, no sois más que niños.\nAunque vaya con vosotros, no conseguiremos\nnada."
22020800,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22020800,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22020900,$■初回ミニマップ読み込みなし,¡No puede ser! ¿Eugene Conwell?\n¡Eres el jugador de fútbol más famoso\nde Nara!
22020900,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22020900,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22020900,■初回BGM読み込みなし,"Si habéis conseguido que se os una, será\nporque en el fondo sois un gran equipo."
22021100,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22021100,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22021100,■初回BGM読み込みなし,Ya solo nos quedas tú. Te aplastaremos\ncomo a un gusano...
22021200,$■初回ミニマップ読み込みなし,¡P-papá! ¡Papáaa! ¡Eres tú! 
22021200,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22021200,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22021200,`%3F豪炎寺くんが　いない%1F今\n%1F新しいストライカーを\n%1F入れる%2F必要があるでしょう。,Papá... ¡No te han hecho nada!
22021200,■初回BGM読み込みなし,¿No decía que no iba a verlo?
22021200,あたら,No recuerdo nada...
22021200,いま,"Papá, ¿qué ha pasado?"
22021200,ごうえんじ,"Perdóname, Victoria...\nSiento mucho haberte preocupado."
22021200,ひつよう,¿Lo dices en serio?
22028000,$■初回ミニマップ読み込みなし,"¡Hola! Sois turistas, ¿no?\nSi queréis, puedo daros algunos consejos\nsobre lo que os encontraréis por aquí."
22028000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22028000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22028000,■初回BGM読み込みなし,¡Ni se os ocurra comprar las galletas de\nciervo que venden en esa tienda!
22028100,$■初回ミニマップ読み込みなし,¡Mark! No puedes bajarte del autobús.\n¡Tenemos que irnos!
22028100,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22028100,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22028300,$■初回ミニマップ読み込みなし,"A mi padre le encanta el fútbol. A veces,\ncruza medio mundo solo para ver un partido."
22028300,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22028300,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22028300,■初回BGM読み込みなし,"¡Voy a salvar a mi padre y, cuando lo\nconsiga, volveremos a ver partidos\nde fútbol juntos!"
22028400,$■初回ミニマップ読み込みなし,Mmm... Por aquí no encuentro ninguna\notra pista.
22028400,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22028400,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22028400,■初回BGM読み込みなし,"Tal vez haya encontrado algo el agente Smith,\nque está por ahí junto a la pantalla."
22028500,$■初回ミニマップ読み込みなし,La Academia Alius siempre deja balones\nnegros en los lugares que destruye.
22028500,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22028500,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22028500,■初回BGM読み込みなし,"Tenemos a nuestros científicos\nexaminándolos, pero, al parecer,\nno son más que esferas de acero."
22028600,$■初回ミニマップ読み込みなし,"¡Si habéis conseguido que se os una el mejor\njugador de Nara, seguro que podemos contar\ncon vosotros! ¡Deprisa! ¡Subid a la azotea!"
22028600,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22028600,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22028700,$■初回ミニマップ読み込みなし,¡El Servicio Secreto está ahí arriba!\n¡Rápido! ¡Tenéis que ayudarles! ¡Tal vez\naún estéis a tiempo!
22028700,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22028700,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22030100,$■初回ミニマップ読み込みなし,Axel... Estás fuera del equipo.
22030100,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22030100,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22030100,■初回BGM読み込みなし,Mi misión es reunir el mejor equipo\ndel planeta.
22030150,$■初回ミニマップ読み込みなし,¿Estáis listos para partir?
22030150,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22030150,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22030150,■初回BGM読み込みなし,¡Muy bien! ¡En marcha!
22030170,$■初回ミニマップ読み込みなし,"¡Mirad, mirad todos!\n¡Ya hemos llegado a Hokkaido!"
22030170,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22030170,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22030170,■初回BGM読み込みなし,"¡Genial! ¡Yo me bajo primero!\n¡Venga, Mark! ¡Intenta alcanzarme!"
22030200,$■初回ミニマップ読み込みなし,¿Esa de ahí no es la entrenadora?
22030200,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22030200,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22030200,■初回BGM読み込みなし,¿Está hablando por teléfono?
22030300,$■初回ミニマップ読み込みなし,Entiendo... Así que la Academia\nAlius se dirige a Hokkaido.
22030300,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22030300,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22030300,■初回BGM読み込みなし,"En ese caso, no podemos perder el tiempo.\nHay que llegar al Instituto Alpino\ncuanto antes."
22030400,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22030400,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22030400,■初回BGM読み込みなし,¡He encontrado a alguien!
22030500,$■初回ミニマップ読み込みなし,¡Genial! Saldremos del campo de nieve\nen un periquete. ¡Seguidme!
22030500,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22030500,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22030500,■初回BGM読み込みなし,¡Lo estás haciendo genial! ¡Continúa!
22030600,$■初回ミニマップ読み込みなし,¡Eh! ¡Ahí hay un edificio! ¡Hemos conseguido\natravesar la nieve sin problemas!
22030600,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22030600,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22030600,■初回BGM読み込みなし,¡No corras! ¡Es peligroso! ¡Así harás\nenfadar a la bestia peluda!
22030700,$■初回ミニマップ読み込みなし,¡Conque este es el Instituto Alpino! Tengo\nganas de ver cómo es ese tal Shawn Froste.
22030700,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22030700,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22030700,Xすごい！　%2F本物の%3F雷門中だーっ！\nあの%3F日本一のチームが\nここにいるべさ〜！,¡Vaya! ¡Alucinante! Pero ¿de verdad \nes el Raimon? ¿Qué hace aquí \nel mejor equipo del país?
22030700,■初回BGM読み込みなし,¡Vosotros sois los del Raimon!
22030700,にほんいち,¡Puaj! ¡Me ha dejado la mano\nllena de mocos!
22030700,ほんもの,¡¿Me firmáis un autógrafo?!
22030700,らいもんちゅう,¡¿Puedo darte la mano?! ¡¿Porfa?!
22030800,$■初回ミニマップ読み込みなし,¿Shawn? Acabo de verlo hablando con unas\nchicas la mar de monas en la puerta principal.
22030800,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22030800,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22030800,■初回BGM読み込みなし,"Ahora que lo pienso, creo que nunca\nhabía visto a esas chicas antes."
22030900,$■初回ミニマップ読み込みなし,"¡Eh, Mark!"
22030900,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22030900,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22030900,■初回BGM読み込みなし,¡Oh! Sois vosotros.\nGracias por ayudarme antes.
22031000,$■初回ミニマップ読み込みなし,¿Estáis listos?
